Date,SP500,SP500_%Change
1996/7/30,635.26,0.689480275
1996/7/31,639.95,0.738280389
1996/8/1,650.02,1.573560434
1996/8/2,662.49,1.918402511
1996/8/5,660.23,-0.341137225
1996/8/6,662.38,0.325644094
1996/8/7,664.16,0.268727921
1996/8/8,662.59,-0.236388822
1996/8/9,662.1,-0.073952218
1996/8/12,665.77,0.554296934
1996/8/13,660.2,-0.836625261
1996/8/14,662.05,0.280218116
1996/8/15,662.28,0.034740579
1996/8/16,665.21,0.442411065
1996/8/19,666.58,0.205950001
1996/8/20,665.69,-0.133517357
1996/8/21,665.07,-0.093136445
1996/8/22,670.68,0.843520231
1996/8/23,667.03,-0.544223773
1996/8/26,663.88,-0.472242628
1996/8/27,666.4,0.379586672
1996/8/28,664.81,-0.238595438
1996/8/29,657.4,-1.114604173
1996/8/30,651.99,-0.82293885
1996/9/3,654.72,0.418718078
1996/9/4,655.61,0.135935973
1996/9/5,649.44,-0.941108281
1996/9/6,655.68,0.96082779
1996/9/9,663.76,1.232308443
1996/9/10,663.81,0.007532843
1996/9/11,667.28,0.522739941
1996/9/12,671.15,0.579966431
1996/9/13,680.54,1.399091112
1996/9/16,683.98,0.505480942
1996/9/17,682.94,-0.15205123
1996/9/18,681.47,-0.215245849
1996/9/19,683,0.224514652
1996/9/20,687.03,0.590043924
1996/9/23,686.48,-0.080054728
1996/9/24,685.61,-0.126733481
1996/9/25,685.83,0.032088213
1996/9/26,685.86,0.004374262
1996/9/27,686.19,0.048114776
1996/9/30,687.31,0.163220099
1996/10/1,689.08,0.257525716
1996/10/2,694.01,0.715446683
1996/10/3,692.78,-0.177230876
1996/10/4,701.46,1.252923006
1996/10/7,703.34,0.268012431
1996/10/8,700.64,-0.383882617
1996/10/9,696.74,-0.556633935
1996/10/10,694.61,-0.305709447
1996/10/11,700.66,0.870992355
1996/10/14,703.54,0.411041018
1996/10/15,702.57,-0.137874179
1996/10/16,704.41,0.261895612
1996/10/17,706.99,0.366263966
1996/10/18,710.82,0.541733264
1996/10/21,709.85,-0.136462114
1996/10/22,706.57,-0.462069451
1996/10/23,707.27,0.099070156
1996/10/24,702.29,-0.704115826
1996/10/25,700.92,-0.195076108
1996/10/28,697.26,-0.522170861
1996/10/29,701.5,0.608094541
1996/10/30,700.9,-0.085531005
1996/10/31,705.27,0.623484092
1996/11/1,703.77,-0.212684504
1996/11/4,706.73,0.420591955
1996/11/5,714.14,1.048490937
1996/11/6,724.59,1.463298513
1996/11/7,727.65,0.422307788
1996/11/8,730.82,0.435649007
1996/11/11,731.87,0.143674229
1996/11/12,729.56,-0.315629825
1996/11/13,731.13,0.215198202
1996/11/14,735.88,0.649679264
1996/11/15,737.62,0.236451595
1996/11/18,737.02,-0.081342697
1996/11/19,742.16,0.697403056
1996/11/20,743.95,0.241187884
1996/11/21,742.75,-0.161301163
1996/11/22,748.73,0.805116123
1996/11/25,757.03,1.108543801
1996/11/26,755.96,-0.141341823
1996/11/27,755,-0.126990846
1996/11/29,757.02,0.267549669
1996/12/2,756.56,-0.060764577
1996/12/3,748.28,-1.094427408
1996/12/4,745.1,-0.424974608
1996/12/5,744.38,-0.096631325
1996/12/6,739.6,-0.642145141
1996/12/9,749.81,1.380475933
1996/12/10,747.54,-0.302743362
1996/12/11,740.73,-0.910988041
1996/12/12,729.33,-1.539022316
1996/12/13,728.64,-0.094607379
1996/12/16,720.98,-1.051273606
1996/12/17,726.04,0.701822519
1996/12/18,731.54,0.75753402
1996/12/19,745.76,1.943844492
1996/12/20,748.87,0.417024244
1996/12/23,746.92,-0.260392324
1996/12/24,751.03,0.550259733
1996/12/26,755.82,0.637790767
1996/12/27,756.79,0.128337435
1996/12/30,753.85,-0.388482934
1996/12/31,740.74,-1.73907276
1997/1/2,737.01,-0.503550504
1997/1/3,748.03,1.49523073
1997/1/6,747.65,-0.050800102
1997/1/7,753.23,0.746338527
1997/1/8,748.41,-0.639910784
1997/1/9,754.85,0.860490907
1997/1/10,759.5,0.616016427
1997/1/13,759.51,0.001316656
1997/1/14,768.86,1.231056866
1997/1/15,767.2,-0.215904066
1997/1/16,769.75,0.332377477
1997/1/17,776.17,0.834037025
1997/1/20,776.7,0.06828401
1997/1/21,782.72,0.775074031
1997/1/22,786.23,0.448436222
1997/1/23,777.56,-1.102730753
1997/1/24,770.52,-0.905396368
1997/1/27,765.02,-0.713803665
1997/1/28,765.02,0
1997/1/29,772.5,0.977752216
1997/1/30,784.17,1.510679612
1997/1/31,786.16,0.253771504
1997/2/3,786.73,0.072504325
1997/2/4,789.26,0.321584279
1997/2/5,778.28,-1.391176545
1997/2/6,780.15,0.240273423
1997/2/7,789.56,1.206178299
1997/2/10,785.43,-0.523076144
1997/2/11,789.59,0.529646181
1997/2/12,802.77,1.669220735
1997/2/13,811.82,1.127346563
1997/2/14,808.48,-0.411421251
1997/2/18,816.29,0.966010291
1997/2/19,812.49,-0.465520832
1997/2/20,802.8,-1.192630063
1997/2/21,801.77,-0.128300947
1997/2/24,810.28,1.061401649
1997/2/25,812.1,0.224613714
1997/2/26,805.68,-0.790543037
1997/2/27,795.07,-1.31690001
1997/2/28,790.82,-0.534544128
1997/3/3,795.31,0.567765105
1997/3/4,790.95,-0.548213904
1997/3/5,801.99,1.395789873
1997/3/6,798.56,-0.427686131
1997/3/7,804.97,0.802694851
1997/3/10,813.65,1.078301055
1997/3/11,811.34,-0.283905856
1997/3/12,804.26,-0.872630463
1997/3/13,789.56,-1.82776714
1997/3/14,793.17,0.457216678
1997/3/17,795.71,0.320233998
1997/3/18,789.66,-0.760327255
1997/3/19,785.77,-0.492617076
1997/3/20,782.65,-0.397062754
1997/3/21,784.1,0.185268
1997/3/24,790.89,0.865960974
1997/3/25,789.07,-0.230120497
1997/3/26,790.5,0.181226
1997/3/27,773.88,-2.102466793
1997/3/31,757.12,-2.165710446
1997/4/1,759.64,0.332840237
1997/4/2,750.11,-1.254541625
1997/4/3,750.32,0.027995894
1997/4/4,757.9,1.010235633
1997/4/7,762.13,0.558121124
1997/4/8,766.12,0.523532731
1997/4/9,760.6,-0.720513758
1997/4/10,758.34,-0.297133842
1997/4/11,737.65,-2.728327663
1997/4/14,743.73,0.824239138
1997/4/15,754.72,1.477686795
1997/4/16,763.53,1.167320331
1997/4/17,761.77,-0.230508297
1997/4/18,766.34,0.599918611
1997/4/21,760.37,-0.779027586
1997/4/22,774.61,1.872772466
1997/4/23,773.64,-0.125224306
1997/4/24,771.18,-0.317977354
1997/4/25,765.37,-0.753390907
1997/4/28,772.96,0.991677228
1997/4/29,794.05,2.728472366
1997/4/30,801.34,0.918078207
1997/5/1,798.53,-0.35066264
1997/5/2,812.97,1.808322793
1997/5/5,830.24,2.12430963
1997/5/6,827.76,-0.298708807
1997/5/7,815.62,-1.466608679
1997/5/8,820.26,0.568892376
1997/5/9,824.78,0.551044791
1997/5/12,837.66,1.561628555
1997/5/13,833.13,-0.540792207
1997/5/14,836.04,0.349285226
1997/5/15,841.88,0.698531171
1997/5/16,829.75,-1.44082292
1997/5/19,833.27,0.424224164
1997/5/20,841.66,1.006876523
1997/5/21,839.35,-0.274457619
1997/5/22,835.66,-0.439625901
1997/5/23,847.03,1.360601201
1997/5/27,849.71,0.316399655
1997/5/28,847.21,-0.294218027
1997/5/29,844.08,-0.369447953
